cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
NextGEM_pbmc_cell_100,16.1427,97.36,0.0,27905.0,0.651619,61.5445,86739,30010
NextGEM_pbmc_cell_101,15.369000000000002,97.62,0.805429,24262.0,0.6398,65.5178,73514,26544
NextGEM_pbmc_cell_102,11.7321,97.95,0.563128,15539.0,0.655292,69.5495,48907,16761
NextGEM_pbmc_cell_103,7.4329,96.39,0.0,9262.0,0.5394100000000001,64.4353,22332,11080
NextGEM_pbmc_cell_104,10.5608,93.4,0.088095,17012.0,0.7589100000000001,57.1856,80385,17327
NextGEM_pbmc_cell_105,7.7207,97.82,0.8494879999999999,9104.0,0.671132,65.8789,29950,9742
NextGEM_pbmc_cell_106,16.9872,97.37,0.0,26890.0,0.628965,67.9732,78805,29424
NextGEM_pbmc_cell_107,13.573,97.4,0.0,18904.0,0.656047,70.8818,59485,20268
NextGEM_pbmc_cell_108,13.7248,97.47,0.0,19099.0,0.7209300000000001,70.5168,74198,19722
NextGEM_pbmc_cell_109,17.1203,98.07,0.0,25654.0,0.665388,61.7019,82033,27332
NextGEM_pbmc_cell_10,14.9294,97.45,0.05649,23000.0,0.588348,69.0132,61195,26109
NextGEM_pbmc_cell_110,10.5478,98.07,0.351617,14170.0,0.6222810000000001,60.9986,40207,15648
NextGEM_pbmc_cell_111,12.9917,97.44,0.105422,19899.0,0.578404,65.4393,51376,22823
NextGEM_pbmc_cell_112,6.8993,97.74,0.8987639999999999,7939.0,0.5880810000000001,73.6737,20834,9095
NextGEM_pbmc_cell_113,17.784000000000002,97.03,0.022359,31301.0,0.6911390000000001,66.2482,111549,32822
NextGEM_pbmc_cell_114,1.9927,93.35,0.0,7578.0,0.708762,19.3257,29709,7870
NextGEM_pbmc_cell_115,7.9549,97.1,0.0,8913.0,0.56223,69.4884,22299,10392
NextGEM_pbmc_cell_116,8.3078,97.48,0.071358,11203.0,0.467815,61.1141,22771,14795
NextGEM_pbmc_cell_117,16.2844,97.9,0.017406,22976.0,0.58097,72.2498,58989,26260
NextGEM_pbmc_cell_118,20.0052,97.85,0.0,32811.0,0.696806,60.0119,115832,34295
NextGEM_pbmc_cell_119,15.4746,97.11,0.29033400000000004,27131.0,0.76077,66.3598,124144,27672
NextGEM_pbmc_cell_11,17.5107,97.93,0.018059,33218.0,0.683249,48.3386,113034,34997
NextGEM_pbmc_cell_120,4.7302,97.85,0.0,4983.0,0.5916239999999999,70.7807,13087,5634
NextGEM_pbmc_cell_121,14.0907,97.26,0.010186,19632.0,0.5814,60.8562,50967,22418
NextGEM_pbmc_cell_122,9.8826,97.9,0.007271,13753.0,0.5564939999999999,57.0234,33236,16137
NextGEM_pbmc_cell_123,12.5217,97.82,0.0,15860.0,0.755152,69.8108,69476,16157
NextGEM_pbmc_cell_124,18.2497,97.94,0.0,27206.0,0.777432,62.5303,131256,27537
NextGEM_pbmc_cell_125,12.6041,97.41,0.0,17552.0,0.626482,72.7524,51449,19245
NextGEM_pbmc_cell_126,11.1262,97.44,0.0,16083.0,0.5383359999999999,62.6438,37667,19271
NextGEM_pbmc_cell_127,8.3642,97.69,0.0,9254.0,0.672111,74.8217,30577,9815
NextGEM_pbmc_cell_128,14.6706,97.25,0.0,22832.0,0.620308,69.3522,65670,25169
NextGEM_pbmc_cell_129,19.6292,92.58,0.006037,215310.0,0.51757,8.0751,517592,264807
NextGEM_pbmc_cell_12,14.1341,97.68,0.0,21859.0,0.746826,61.7366,93527,22336
NextGEM_pbmc_cell_130,8.2239,97.92,0.32813000000000003,10024.0,0.650762,64.1842,30782,10823
NextGEM_pbmc_cell_131,6.3585,97.71,0.0,7249.0,0.595751,67.3955,19340,8169
NextGEM_pbmc_cell_132,15.5946,97.55,0.0,24327.0,0.695901,71.6426,86391,25438
NextGEM_pbmc_cell_133,14.902000000000001,97.45,0.0,22651.0,0.6905560000000001,65.964,80644,23756
NextGEM_pbmc_cell_134,14.6691,97.04,0.0,22389.0,0.532208,64.9292,52592,27030
NextGEM_pbmc_cell_135,9.2449,97.74,0.0,11334.0,0.646872,65.33,34458,12232
NextGEM_pbmc_cell_136,19.2475,97.87,0.0,38758.0,0.6829770000000001,49.1937,131831,40832
NextGEM_pbmc_cell_137,17.0668,97.65,0.006498,30777.0,0.645493,68.8002,93770,33252
NextGEM_pbmc_cell_138,11.5658,97.42,0.086409,16188.0,0.684964,73.0373,55526,17047
NextGEM_pbmc_cell_139,14.3177,97.44,0.139665,20735.0,0.6981930000000001,72.4812,74364,21686
NextGEM_pbmc_cell_13,15.3112,97.29,0.0,25083.0,0.6033430000000001,60.0905,69300,28054
NextGEM_pbmc_cell_140,3.8697,97.9,1.0,4653.0,0.672428,61.1064,15316,4984
NextGEM_pbmc_cell_141,10.8862,97.2,0.0,15318.0,0.679808,64.6755,51562,16167
NextGEM_pbmc_cell_142,18.1296,97.39,0.0,31378.0,0.691629,65.5045,110117,32891
NextGEM_pbmc_cell_143,17.9749,97.4,0.064273,34207.0,0.673238,68.3485,114977,36279
NextGEM_pbmc_cell_144,12.9671,97.28,0.0,20165.0,0.675674,68.0957,67101,21338
NextGEM_pbmc_cell_145,14.0733,97.92,0.0,20111.0,0.632729,59.7434,58472,21936
NextGEM_pbmc_cell_146,16.9525,97.44,0.0,28942.0,0.734216,68.3453,118275,29716
NextGEM_pbmc_cell_147,14.0112,97.12,0.46182700000000004,23924.0,0.725223,61.501999999999995,97137,24772
NextGEM_pbmc_cell_148,15.5035,97.33,0.164918,26636.0,0.6731590000000001,73.051,90309,28277
NextGEM_pbmc_cell_149,8.2731,97.59,0.0,9736.0,0.705603,67.1888,35367,10128
NextGEM_pbmc_cell_14,9.2188,97.84,0.0,11288.0,0.768537,66.5884,52033,11454
NextGEM_pbmc_cell_150,5.1322,98.3,0.685055,5509.0,0.584681,69.2807,14199,6317
NextGEM_pbmc_cell_151,15.6525,97.29,0.286398,25416.0,0.706439,67.8548,94857,26504
NextGEM_pbmc_cell_152,12.9483,97.92,0.0,18619.0,0.681906,59.7615,62864,19626
NextGEM_pbmc_cell_153,13.2361,97.96,0.0,18867.0,0.7095819999999999,60.688,69439,19591
NextGEM_pbmc_cell_154,5.8408,97.39,0.0,6418.0,0.48466400000000004,68.2689,13455,8252
NextGEM_pbmc_cell_155,15.1073,97.26,0.0,25913.0,0.6332979999999999,68.5872,77522,28251
NextGEM_pbmc_cell_156,12.3308,97.63,0.0,15955.0,0.584224,62.6637,41418,18172
NextGEM_pbmc_cell_157,15.5426,97.88,0.0,22178.0,0.570934,59.8363,55141,25619
