cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
v1_pbmc_v1_cell_100,7.0824,96.28,0.0,6801.0,0.739095,64.5126,28541,6969
v1_pbmc_v1_cell_101,13.1397,97.89,0.29933699999999996,13989.0,0.646806,66.6774,42662,15145
v1_pbmc_v1_cell_102,11.6337,97.96,0.46621899999999994,12596.0,0.644732,62.1533,38309,13679
v1_pbmc_v1_cell_103,6.6998,97.94,0.0,6228.0,0.670946,63.2225,20159,6609
v1_pbmc_v1_cell_104,8.4807,98.14,0.0,9089.0,0.597065,54.841,24188,10224
v1_pbmc_v1_cell_105,6.4473,97.96,0.14413800000000002,6235.0,0.65166,59.4971,19158,6715
v1_pbmc_v1_cell_106,7.2179,96.49,0.0,6461.0,0.685244,68.867,22269,6798
v1_pbmc_v1_cell_107,0.0409,94.8,0.26109699999999997,764.0,0.421887,3.2637,1500,1092
v1_pbmc_v1_cell_108,9.5948,98.05,0.0,9855.0,0.5345270000000001,60.3501,22628,11862
v1_pbmc_v1_cell_109,13.187999999999999,97.37,0.0,16235.0,0.6741199999999999,62.7656,53589,17198
v1_pbmc_v1_cell_10,6.0351,98.06,0.0,5409.0,0.711996,67.1473,20097,5610
v1_pbmc_v1_cell_110,5.5857,97.08,0.061112,4906.0,0.561775,67.417,12280,5725
v1_pbmc_v1_cell_111,15.9567,96.89,1.124983,28828.0,0.608881,40.2696,81543,32448
v1_pbmc_v1_cell_112,9.8659,97.57,0.0,10068.0,0.616267,67.6649,28182,11136
v1_pbmc_v1_cell_113,13.4535,97.74,0.0,15671.0,0.638659,59.9547,46427,17015
v1_pbmc_v1_cell_114,12.3431,97.8,0.0,12556.0,0.625351,66.5897,36031,13782
v1_pbmc_v1_cell_115,11.2642,97.63,0.128854,10851.0,0.552199,68.8955,26078,12804
v1_pbmc_v1_cell_116,16.679000000000002,97.72,0.0,20185.0,0.674089,63.1335,66613,21382
v1_pbmc_v1_cell_117,12.9299,97.66,0.042496,14113.0,0.5694899999999999,61.8705,35366,16337
v1_pbmc_v1_cell_118,14.1016,97.93,0.0,15130.0,0.719685,66.6457,57693,15633
