cell,frac_open,mapping_rate,mt_content,uniq_nuc_frags,dup_level,frip,sequencing_depth,library_size
plate1_pbmc_plate1_001,15.2172,94.88,3.905475,25171.0,0.448489,59.9966,54202,35527.0
plate1_pbmc_plate1_002,14.8749,94.72,17.466855,22846.0,0.448608,67.848,59403,37536.0
plate1_pbmc_plate1_003,10.0222,94.7,17.671060999999998,13115.0,0.337079,71.6541,28245,27082.0
plate1_pbmc_plate1_004,11.5847,94.6,14.46089,15835.0,0.45161,71.2025,39645,24978.0
plate1_pbmc_plate1_005,15.9831,94.95,4.046769,27410.0,0.45767299999999994,57.7137,59789,38169.0
plate1_pbmc_plate1_006,11.950999999999999,94.48,12.669067,17950.0,0.46358,66.94800000000001,45070,27209.0
plate1_pbmc_plate1_007,18.1623,95.02,6.55836,32727.0,0.446655,56.4856,72060,47644.0
plate1_pbmc_plate1_008,7.3395,94.85,20.865183,9421.0,0.425712,71.1634,24548,16791.0
plate1_pbmc_plate1_009,19.7714,95.0,6.8002080000000005,37594.0,0.462188,54.8281,85387,53516.0
plate1_pbmc_plate1_010,12.7489,95.04,11.918687,18675.0,0.468555,69.9179,46333,27851.0
plate1_pbmc_plate1_011,14.1289,94.78,11.523511,21168.0,0.44524300000000006,67.2769,49962,32623.0
plate1_pbmc_plate1_012,13.8852,94.73,15.039882999999998,22048.0,0.455154,65.6718,55589,34816.0
plate1_pbmc_plate1_013,14.0676,94.87,8.386787,20995.0,0.466947,70.1793,50200,30178.0
plate1_pbmc_plate1_014,13.2817,94.68,10.818147999999999,19381.0,0.43261400000000005,68.5303,44656,30277.0
plate1_pbmc_plate1_015,13.046,94.37,5.306296,19987.0,0.46367700000000006,68.2972,45628,27937.0
plate1_pbmc_plate1_016,13.8265,94.56,5.406148,20647.0,0.44196499999999994,70.1356,45039,29926.0
plate1_pbmc_plate1_017,15.6861,94.81,11.117164,24473.0,0.46273000000000003,69.1327,59404,36497.0
plate1_pbmc_plate1_018,13.6401,94.69,7.909763000000001,19676.0,0.48037399999999997,71.0217,47633,27574.0
plate1_pbmc_plate1_019,4.9938,94.29,26.852659000000003,5873.0,0.423742,71.8769,17034,11364.0
plate1_pbmc_plate1_020,11.3996,94.48,17.268231,16893.0,0.47129799999999994,68.1571,45977,26710.0
plate1_pbmc_plate1_021,13.724,94.69,12.930758,21729.0,0.46520900000000004,65.1066,54098,32952.0
plate1_pbmc_plate1_022,12.1056,94.85,14.594033999999999,18124.0,0.440404,65.3833,44776,29172.0
plate1_pbmc_plate1_023,15.0906,94.71,15.998045000000001,24059.0,0.485836,67.3248,65005,36670.0
plate1_pbmc_plate1_024,11.7592,94.65,10.236677,17029.0,0.455013,69.7776,40261,25456.0
plate1_pbmc_plate1_025,11.947000000000001,94.83,14.581586999999999,17322.0,0.473095,68.6104,44766,26456.0
plate1_pbmc_plate1_026,15.3171,94.91,24.777924,24642.0,0.47742799999999996,66.5466,74647,42460.0
plate1_pbmc_plate1_027,16.5599,94.62,10.795571,30375.0,0.45687,57.2391,72853,45558.0
plate1_pbmc_plate1_028,14.6724,94.69,10.274175,21239.0,0.46098100000000003,70.4744,51155,31462.0
plate1_pbmc_plate1_029,11.1705,94.48,16.415375,15744.0,0.455308,69.4999,40511,25264.0
plate1_pbmc_plate1_030,13.387,94.97,7.132453,19765.0,0.473896,70.3049,46390,27732.0
plate1_pbmc_plate1_031,13.8838,94.89,16.971093,20910.0,0.472487,67.5766,55470,32885.0
plate1_pbmc_plate1_032,15.0773,94.62,11.511503999999999,24114.0,0.47372600000000004,67.0306,60256,35516.0
plate1_pbmc_plate1_033,14.3261,94.72,13.851742999999999,22290.0,0.463084,66.0992,55923,34278.0
plate1_pbmc_plate1_034,14.4939,94.81,9.950045,21992.0,0.45728900000000006,70.1601,51850,32653.0
plate1_pbmc_plate1_035,18.4913,95.24,8.223929,33345.0,0.46786700000000003,57.317,77790,47778.0
plate1_pbmc_plate1_036,12.376,94.2,14.497869,18654.0,0.42077700000000007,65.5269,44187,31043.0
plate1_pbmc_plate1_037,12.637,94.65,17.19449,18695.0,0.455372,68.6606,48608,30280.0
plate1_pbmc_plate1_038,12.9514,94.72,6.162451,18958.0,0.474181,70.5192,44537,26313.0
plate1_pbmc_plate1_039,12.2441,94.94,13.115637,17747.0,0.464559,69.5339,44742,26998.0
plate1_pbmc_plate1_040,15.6141,94.38,4.447152,25096.0,0.46787700000000004,65.5365,57186,34538.0
plate1_pbmc_plate1_041,13.5655,94.66,11.659737,20396.0,0.444292,66.0841,48129,31531.0
plate1_pbmc_plate1_042,12.720999999999998,94.57,8.798473,19591.0,0.464488,66.5495,46406,28396.0
plate1_pbmc_plate1_043,11.312999999999999,94.84,19.17434,15976.0,0.457187,70.3101,42983,26432.0
plate1_pbmc_plate1_044,15.0933,94.52,8.418409,22606.0,0.472361,70.7381,54964,32237.0
plate1_pbmc_plate1_045,13.9185,94.91,15.829668,21051.0,0.484309,68.1607,56320,32090.0
plate1_pbmc_plate1_046,11.6194,95.33,9.640587,16065.0,0.428071,70.9967,35849,24969.0
plate1_pbmc_plate1_047,12.5704,94.64,6.5369209999999995,18201.0,0.45895,70.8406,41386,25969.0
plate1_pbmc_plate1_048,12.5984,94.72,13.2508,18429.0,0.45519799999999994,68.1628,45372,28498.0
plate1_pbmc_plate1_049,11.4036,94.65,16.331262,18044.0,0.47012299999999996,63.2083,47591,28261.0
plate1_pbmc_plate1_050,11.7659,94.71,21.179561,16505.0,0.44535699999999995,68.6796,44582,28547.0
plate1_pbmc_plate1_051,12.5092,93.93,18.666954999999998,18792.0,0.385473,65.7931,44753,35206.0
plate1_pbmc_plate1_052,12.8701,94.31,4.5682730000000005,19010.0,0.448169,68.366,42072,27030.0
plate1_pbmc_plate1_053,14.8096,94.8,18.421518,23081.0,0.466109,66.6013,62132,37307.0
plate1_pbmc_plate1_054,14.755,94.95,13.160042,22350.0,0.45983999999999997,66.7152,55754,34270.0
plate1_pbmc_plate1_055,18.129,94.6,5.580106,34400.0,0.455297,54.0252,76621,48866.0
plate1_pbmc_plate1_056,13.1219,94.69,16.991925,19736.0,0.467037,67.3389,52632,31305.0
plate1_pbmc_plate1_057,14.6018,94.84,5.338296,21616.0,0.46517200000000003,69.6825,49192,30154.0
plate1_pbmc_plate1_058,11.5208,94.7,16.700425,16450.0,0.461717,69.7311,43487,26217.0
plate1_pbmc_plate1_059,11.9031,94.42,12.61116,16804.0,0.46196000000000004,70.8643,42452,25519.0
plate1_pbmc_plate1_060,10.9414,94.54,11.589531,16180.0,0.440217,66.5018,37933,25166.0
plate1_pbmc_plate1_061,13.732000000000001,94.8,16.02546,20845.0,0.469174,67.9511,54575,32576.0
plate1_pbmc_plate1_062,13.1166,94.54,9.945775999999999,18933.0,0.47297700000000004,71.7347,47174,27432.0
plate1_pbmc_plate1_063,13.9304,94.83,8.051728,21686.0,0.442659,63.445,48814,32302.0
plate1_pbmc_plate1_064,11.8551,94.7,15.926867000000001,16876.0,0.4663,69.4739,44171,26460.0
plate1_pbmc_plate1_065,14.4539,94.87,11.501380000000001,22122.0,0.471645,68.9963,54725,32683.0
plate1_pbmc_plate1_066,12.8688,94.6,15.14463,19420.0,0.448676,66.2938,48636,31029.0
plate1_pbmc_plate1_067,14.1356,94.54,5.65735,22346.0,0.457216,65.14399999999999,50258,31673.0
plate1_pbmc_plate1_068,14.2222,94.95,13.495078,22320.0,0.48551400000000006,65.5104,57981,33048.0
plate1_pbmc_plate1_069,13.5042,94.69,16.721443,20778.0,0.47617,67.8577,56008,32400.0
plate1_pbmc_plate1_070,11.1998,94.65,12.991525,16529.0,0.460971,66.4315,40911,25250.0
plate1_pbmc_plate1_071,12.9647,94.82,17.631183,18617.0,0.470257,69.1134,49967,29613.0
plate1_pbmc_plate1_072,18.5433,94.93,5.827312,34018.0,0.481468,56.5443,79263,46541.0
plate1_pbmc_plate1_073,12.4106,94.44,16.253849,18224.0,0.46278400000000003,67.9518,48079,28842.0
plate1_pbmc_plate1_074,19.0228,95.06,6.503245,36158.0,0.46595299999999995,54.7307,82410,51005.0
plate1_pbmc_plate1_075,11.6833,94.64,14.003060000000001,16864.0,0.416716,68.1311,39028,28112.0
plate1_pbmc_plate1_076,13.4376,94.7,16.321085999999998,20703.0,0.47287799999999997,67.089,55120,32287.0
plate1_pbmc_plate1_077,14.338,95.05,11.438145,23259.0,0.46621,64.1473,56843,34625.0
plate1_pbmc_plate1_078,4.7967,92.51,12.243419,29072.0,0.45023100000000005,20.5793,72527,44799.0
plate1_pbmc_plate1_079,11.0865,94.72,9.530710000000001,16232.0,0.465041,67.3671,38744,23698.0
plate1_pbmc_plate1_080,13.4589,94.35,7.978578999999999,20276.0,0.450387,67.0237,46814,29789.0
plate1_pbmc_plate1_081,12.2174,94.75,13.552204999999999,18116.0,0.456563,67.8302,45236,28051.0
plate1_pbmc_plate1_082,0.4183,95.2,14.223195,392.0,0.45724499999999996,78.4464,968,611.0
plate1_pbmc_plate1_083,10.5004,94.65,7.387289999999999,13640.0,0.45679200000000003,74.6367,31780,19707.0
plate1_pbmc_plate1_084,10.4725,94.51,10.980501,15979.0,0.425784,63.0613,36304,25311.0
plate1_pbmc_plate1_085,12.011,94.9,11.72997,17639.0,0.46035600000000004,67.1821,42780,26586.0
